menge;p_artikel-p_artikelnr;Lagerort;reservierteMenge;Lagerstandort;mengeFuerAuftraege
24;P01-82042815;420;0;10004;0
160;P01-82042815;410;0;10004;0
145;P01-72040340;420;0;10004;0
145;P02-72040340;420;0;10004;0
624;P02-51969205;420;0;10004;0
603;P01-51969205;420;0;10004;0
40;P01-52139517;410;0;10004;0
40;P02-52139517;410;0;10004;0
156;P01-67111967;420;0;10004;0
195;P02-67111967;420;0;10004;0
158;P03-67111967;420;0;10004;0
1;P01-98785668;420;0;10004;0
38;P01-66478116;420;0;10004;0
31;P02-66478116;420;0;10004;0
1;P02-82791163;420;0;10004;0
375;P01-76953646;420;0;10004;0
3;P01-76953646;440;0;10004;0
386;P02-76953646;420;0;10004;0
52;P01-50111633;420;0;10004;0
52;P02-50111633;420;0;10004;0
48;P03-50111633;420;0;10004;0
48;P04-50111633;420;0;10004;0
48;P01-33735268;420;0;10004;0
23;P01-77912505;420;0;10004;0
60;P01-61106212;420;0;10004;0
100;P01-74581539;410;0;10004;0
100;P02-74581539;410;0;10004;0
84;P01-34858156;420;0;10004;0
84;P02-34858156;420;0;10004;0
114;P01-27509364;420;0;10004;0
98;P02-27509364;420;0;10004;0
56;P01-89783044;420;0;10004;0
48;P02-89783044;420;0;10004;0
59;P03-89783044;420;0;10004;0
1;P02-42020410;420;0;10004;0
54;P01-98785241;420;0;10004;0
45;P02-98785241;420;0;10004;0
32;P03-98785241;420;0;10004;0
81;P01-71211838;420;0;10004;0
100;P02-71211838;420;0;10004;0
103;P03-71211838;420;0;10004;0
14;P01-86975214;420;0;10004;0
19;P02-86975214;420;0;10004;0
23;P03-86975214;420;0;10004;0
12;P01-47010332;420;0;10004;0
25;P02-47010332;420;0;10004;0
47;P01-99359556;420;0;10004;0
48;P02-99359556;420;0;10004;0
50;P01-32943427;420;0;10004;0
1;P02-91833437;420;0;10004;0
5;P01-48177811;420;0;10004;0
1;P02-48177811;420;0;10004;0
15;P01-15154912;420;0;10004;0
2;P02-15154912;420;0;10004;0
9;P01-96104535;420;0;10004;0
30;P01-94115020;420;0;10004;0
33;P02-94115020;420;0;10004;0
1;P03-78815122;420;0;10004;0
1;P01-78815122;420;0;10004;0
1;P02-78815122;420;0;10004;0
121;P03-33528417;420;0;10004;0
104;P01-33528417;420;0;10004;0
107;P02-33528417;420;0;10004;0
1;P01-99294469;420;0;10004;0
1;P02-99294469;420;0;10004;0
1;P03-99294469;420;0;10004;0
1;P03-84957639;420;0;10004;0
1;P02-84957639;420;0;10004;0
54;P01-74992069;420;0;10004;0
50;P02-74992069;420;0;10004;0
41;P01-77815454;420;0;10004;0
41;P02-77815454;420;0;10004;0
1;P02-68593108;420;0;10004;0
167;P01-14877667;420;0;10004;0
167;P02-14877667;420;0;10004;0
60;P01-22834568;420;0;10004;0
55;P02-22834568;420;0;10004;0
45;P01-42176204;420;0;10004;0
45;P02-42176204;420;0;10004;0
413;59399249;420;0;10004;0
84;P02-10857950;420;0;10004;0
8;P02-34053261;420;0;10004;0
20;2000922;420;0;10004;0
15;2000928;420;0;10004;0
30;2000930;420;0;10004;0
30;2000932;420;0;10004;0
60;82470425;420;0;10004;0
72;15628455;420;0;10004;0
240;20984133;420;0;10004;0
59;70450924;420;0;10004;0
118;50337760;420;0;10004;0
59;53126253;420;0;10004;0
8;61295861;420;0;10004;0
20;12711008;420;0;10004;0
24;11114943;420;0;10004;0
118;15143566;420;0;10004;0
8;13880927;420;0;10004;0
216;25532903;420;0;10004;0
217;98817754;420;0;10004;0
167;58720807;420;0;10004;0
160;58166012;420;0;10004;0
352;89568934;420;0;10004;0
395;78213357;420;0;10004;0
160;25209237;420;0;10004;0
64;99921549;420;0;10004;0
72;79332707;420;0;10004;0
335;21824164;420;0;10004;0
256;44677265;420;0;10004;0
240;66671669;420;0;10004;0
